n02097130,1289,giant schnauzer,-
n02085936,1287,"Maltese dog, Maltese terrier, Maltese",D
n02093991,1283,Irish terrier,D
n02091032,1281,Italian greyhound,-
n02105641,1280,"Old English sheepdog, bobtail",-
n02090721,1278,Irish wolfhound,D
n02097298,1274,"Scotch terrier, Scottish terrier, Scottie",D
n02101006,1264,Gordon setter,-
n02104029,1263,kuvasz,-
n02094721,1263,"Manchester terrier, black-and-tan terrier",-
n02110958,1261,"pug, pug-dog",D
n02084732,1257,"pooch, doggie, doggy, barker, bow-wow",-
n02105412,1256,kelpie,D
n02108254,1243,mastiff,-
n02107683,1238,Bernese mountain dog,D
n02112137,1233,"chow, chow chow",D
n02104882,1232,"Belgian sheepdog, Belgian shepherd",D
n02098550,1230,"sporting dog, gun dog",-
n02093056,1228,"bullterrier, bull terrier",D
n02106550,1226,Rottweiler,D
n02085374,1224,"toy dog, toy",-
n02086753,1222,King Charles spaniel,-
n02087122,1222,hunting dog,-
n02098906,1218,water dog,-
n02099997,1212,"pointer, Spanish pointer",D
n02087551,1209,"hound, hound dog",-
n02096051,1208,"Airedale, Airedale terrier",D
n02107574,1207,Greater Swiss Mountain dog,D
n02105251,1207,briard,D
n02090475,1194,wolfhound,-
n02107908,1188,Appenzeller,D
n02106854,1186,police dog,-
n02112497,1166,"griffon, Brussels griffon, Belgian griffon",D
n02088466,1161,"bloodhound, sleuthhound",D
n02091244,1140,"Ibizan hound, Ibizan Podenco",D
n02111626,1135,spitz,-
n02088094,1134,"Afghan hound, Afghan",D
n02094258,1127,Norwich terrier,-
n02091467,1108,"Norwegian elkhound, elkhound",D
n02090622,1107,"borzoi, Russian wolfhound",D
n02111129,1106,Leonberg,D
n02091831,1087,"Saluki, gazelle hound",D
n02102177,1084,Welsh springer spaniel,-
n02108422,1080,bull mastiff,D
n02096294,1079,Australian terrier,D
n02102480,1069,Sussex spaniel,-
n02095570,1042,Lakeland terrier,D
n02097209,1040,standard schnauzer,-
n02101556,1035,"clumber, clumber spaniel",-
n02095412,1023,"wirehair, wirehaired terrier, wire-haired terrier",D
n02098806,1021,bird dog,-
n02107420,1020,Sennenhunde,D
n02089555,1011,foxhound,-
n02094114,1000,Norfolk terrier,D
n02104280,974,housedog,-
n02102605,972,water spaniel,-
n02086646,971,Blenheim spaniel,-
n02093859,937,Kerry blue terrier,D
n02105505,922,komondor,D
n02096437,915,"Dandie Dinmont, Dandie Dinmont terrier",D
n02095050,894,fox terrier,D
n02085272,868,lapdog,-
n02093647,849,Bedlington terrier,D
n02100236,846,German short-haired pointer,D
n02090379,836,redbone,D
n02094931,834,"toy Manchester, toy Manchester terrier",-
n02110627,796,"affenpinscher, monkey pinscher, monkey dog",D
n02097474,774,"Tibetan terrier, chrysanthemum dog",D
n02099429,727,curly-coated retriever,-
n02113712,716,miniature poodle,-
n02087046,640,toy terrier,-
n02095889,623,"Sealyham terrier, Sealyham",D
n02102973,587,Irish water spaniel,-
n02088632,537,bluetick,D
n02095314,536,wire-haired fox terrier,-
n02097786,506,Skye terrier,-
n02086478,455,English toy spaniel,-
n02089973,454,English foxhound,D
n02108000,447,EntleBucher,-
n02089078,435,black-and-tan coonhound,D
n02091635,396,"otterhound, otter hound",-
n02085782,385,Japanese spaniel,-
n02085019,376,"feist, fice",-
n02089867,364,"Walker hound, Walker foxhound",-
n02086346,352,toy spaniel,-
n02109150,349,guide dog,-
n02113892,333,large poodle,-
n02102806,322,American water spaniel,-
n02088992,319,coondog,-
n02089725,283,American foxhound,-
n02112706,277,Brabancon griffon,-
n02113978,272,Mexican hairless,-
n02087314,246,courser,-
n02090129,217,harrier,-
n02092173,165,staghound,-
n02104184,157,attack dog,-
n02103181,153,"griffon, wire-haired pointing griffon",-
n02101670,146,field spaniel,-
n02095212,130,smooth-haired fox terrier,-
n02109256,85,Seeing Eye dog,-
n02085118,63,"pariah dog, pye-dog, pie-dog",-
n02110532,36,liver-spotted dalmatian,-
n02109391,31,hearing dog,-
n02097967,21,Clydesdale terrier,-
n02088745,18,boarhound,-
n02090253,5,Plott hound,-
n02109687,5,seizure-alert dog,-
